# seed=1337 config_hash=5fa4d5543ecd68be54445db2d80192b6b9de48a99484383e55fdfe1bbe91521a
episode,epsilon,alpha,mean_reward,winrate_vs_baseline,fallback_rate,role
93999,0.7023396666666667,0.10926753333333333,0.3356000000000004,0.10880829015544041,0.13619641714651312,cop
94000,0.7023396666666667,0.10926753333333333,0.04004000000000002,0.09195402298850575,0.17295414973882764,thief
94999,0.699173,0.10883419999999999,0.2707199999999994,0.05851063829787234,0.12624102642431648,cop
95000,0.699173,0.10883419999999999,0.05528000000000005,0.13402061855670103,0.18940372900129224,thief
95999,0.6960063333333333,0.10840086666666666,0.32146000000000036,0.14736842105263157,0.12374067522879335,cop
96000,0.6960063333333333,0.10840086666666666,0.039460000000000064,0.11855670103092783,0.19892266256252406,thief
96999,0.6928396666666667,0.10796753333333334,0.3156400000000003,0.10294117647058823,0.11361873739723903,cop
97000,0.6928396666666667,0.10796753333333334,0.044020000000000024,0.1111111111111111,0.18888678171818699,thief
97999,0.689673,0.1075342,0.33842000000000055,0.13989637305699482,0.12090620031796502,cop
98000,0.689673,0.1075342,0.047100000000000024,0.07784431137724551,0.21449649575802288,thief
98999,0.6865063333333334,0.10710086666666666,0.31838000000000005,0.11979166666666667,0.12431415582379683,cop
99000,0.6865063333333334,0.10710086666666666,0.030120000000000036,0.09424083769633508,0.2052325581395349,thief
99999,0.6833396666666667,0.10666753333333333,0.2938,0.1005586592178771,0.1219078540507112,cop
100000,0.6833396666666667,0.10666753333333333,0.04414000000000006,0.10050251256281408,0.17976900149031297,thief
100999,0.680173,0.1062342,0.3758800000000002,0.10857142857142857,0.13152227927778698,cop
101000,0.680173,0.1062342,0.052780000000000056,0.15846994535519127,0.2053872053872054,thief
101999,0.6770063333333334,0.10580086666666666,0.33408000000000015,0.11666666666666667,0.14394540549119186,cop
102000,0.6770063333333334,0.10580086666666666,0.02798000000000004,0.07567567567567568,0.21172441579371476,thief
102999,0.6738396666666666,0.10536753333333332,0.35360000000000036,0.14835164835164835,0.11798479702409834,cop
103000,0.6738396666666666,0.10536753333333332,0.04164000000000003,0.1,0.18862218862218863,thief
103999,0.6706730000000001,0.1049342,0.34478,0.12154696132596685,0.1327575175943698,cop
104000,0.6706730000000001,0.1049342,0.029380000000000038,0.07526881720430108,0.18018018018018017,thief
104999,0.6675063333333333,0.10450086666666666,0.3871800000000008,0.14646464646464646,0.11876857048530869,cop
105000,0.6675063333333333,0.10450086666666666,0.036540000000000045,0.14213197969543148,0.18319719953325556,thief
105999,0.6643396666666668,0.10406753333333332,0.33930000000000027,0.12,0.1166468960063266,cop
106000,0.6643396666666668,0.10406753333333332,0.030700000000000043,0.11428571428571428,0.19937633989475737,thief
106999,0.661173,0.1036342,0.32564,0.1443850267379679,0.13241831084769554,cop
107000,0.661173,0.1036342,0.03788000000000007,0.10891089108910891,0.18682380216383307,thief
107999,0.6580063333333334,0.10320086666666667,0.3487600000000002,0.11666666666666667,0.1237714742309229,cop
108000,0.6580063333333334,0.10320086666666667,0.04028000000000007,0.11363636363636363,0.1908086096567772,thief
